ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
601318.SH,20121120,36.28,36.29,35.1,35.33,36.49,-1.1600000000000037,-3.179,281550.42,1000884.503,0.654,1.41,14.3608,13.292,1.913,1.1236,0.9643,1.52,1.13,791614.2092,478640.9636,430505.0085,27967730.011,16910385.244
601318.SH,20121119,36.93,37.04,34.6,36.49,37.09,-0.6000000000000014,-1.6177,393504.11,1410529.885,0.9141,2.53,14.8324,13.7284,1.9758,1.1605,0.996,1.47,1.1,791614.2092,478640.9636,430505.0085,28886002.4937,17465608.7618
601318.SH,20121116,37.7,37.81,36.73,37.09,37.77,-0.6799999999999997,-1.8004,160407.54,595121.917,0.3726,1.15,15.0762,13.9542,2.0083,1.1796,1.0124,1.45,1.08,791614.2092,478640.9636,430505.0085,29360971.0192,17752793.3399
601318.SH,20121115,37.7,38.28,37.55,37.77,37.83,-0.05999999999999517,-0.1586,197798.09,749813.686,0.4595,1.48,15.3526,14.21,2.0451,1.2012,1.0309,1.42,1.06,791614.2092,478640.9636,430505.0085,29899268.6815,18078269.1952
601318.SH,20121114,37.65,38.05,37.51,37.83,37.58,0.25,0.6652,115493.74,437176.627,0.2683,0.84,15.377,14.2326,2.0484,1.2031,1.0326,1.42,1.06,791614.2092,478640.9636,430505.0085,29946765.534,18106987.653
601318.SH,20121113,38.21,38.21,37.5,37.58,38.2,-0.6200000000000045,-1.623,127717.95,481633.895,0.2967,0.83,15.2754,14.1385,2.0348,1.1951,1.0257,1.43,1.06,791614.2092,478640.9636,430505.0085,29748861.9817,17987327.4121
601318.SH,20121112,38.63,38.74,37.88,38.2,38.61,-0.4099999999999966,-1.0619,174851.56,667309.197,0.4062,1.01,15.5274,14.3718,2.0684,1.2149,1.0427,1.4,1.05,791614.2092,478640.9636,430505.0085,30239662.7914,18284084.8095
601318.SH,20121109,38.55,38.76,38.43,38.61,38.61,0.0,0.0,81623.6,314720.118,0.1896,0.38,15.6941,14.526,2.0906,1.2279,1.0539,1.39,1.04,791614.2092,478640.9636,430505.0085,30564224.6172,18480327.6046
601318.SH,20121108,38.6,39.03,38.53,38.61,38.92,-0.3100000000000023,-0.7965,167492.94,648981.156,0.3891,0.65,15.6941,14.526,2.0906,1.2279,1.0539,1.39,1.04,791614.2092,478640.9636,430505.0085,30564224.6172,18480327.6046
601318.SH,20121107,39.14,39.14,38.71,38.92,39.14,-0.21999999999999886,-0.5621,134196.0,522278.932,0.3117,0.53,15.8201,14.6427,2.1074,1.2378,1.0623,1.38,1.03,791614.2092,478640.9636,430505.0085,30809625.0221,18628706.3033
601318.SH,20121106,38.75,39.24,38.32,39.14,38.76,0.38000000000000256,0.9804,213022.46,826047.113,0.4948,0.84,15.9095,14.7254,2.1193,1.2448,1.0683,1.37,1.02,791614.2092,478640.9636,430505.0085,30983780.1481,18734007.3153
601318.SH,20121105,39.0,39.15,38.29,38.76,39.05,-0.28999999999999915,-0.7426,266093.62,1027489.602,0.6181,0.99,15.7551,14.5825,2.0987,1.2327,1.058,1.38,1.03,791614.2092,478640.9636,430505.0085,30682966.7486,18552123.7491
601318.SH,20121102,39.03,39.36,38.63,39.05,39.33,-0.28000000000000114,-0.7119,281744.28,1097483.238,0.6545,1.17,15.8729,14.6916,2.1144,1.2419,1.0659,1.37,1.02,791614.2092,478640.9636,430505.0085,30912534.8693,18690929.6286
601318.SH,20121101,38.8,39.8,38.6,39.33,38.8,0.5300000000000011,1.366,398841.99,1561850.926,0.9265,2.13,15.9867,14.7969,2.1296,1.2508,1.0735,1.36,1.02,791614.2092,478640.9636,430505.0085,31134186.8478,18824949.0984
601318.SH,20121031,38.76,38.94,38.4,38.8,38.48,0.3200000000000003,0.8316,101405.28,392339.834,0.2355,0.55,15.7713,14.5975,2.1009,1.2339,1.059,1.38,1.03,791614.2092,478640.9636,430505.0085,30714631.317,18571269.3877
601318.SH,20121030,38.2,38.96,38.2,38.48,38.06,0.4199999999999946,1.1035,219171.67,847663.569,0.5091,1.36,15.6412,14.732,2.0925,1.2238,1.093,1.39,1.04,791614.2092,478640.9636,430505.0085,30461314.77,18418104.2793
601318.SH,20121029,39.58,39.68,37.6,38.06,39.74,-1.6799999999999997,-4.2275,340088.44,1310110.765,0.79,2.97,15.4705,14.5712,2.0696,1.2104,1.0811,1.41,1.05,791614.2092,478640.9636,430505.0085,30128836.8022,18217075.0746
601318.SH,20121026,40.86,41.05,39.45,39.74,40.84,-1.1000000000000014,-2.6934,147482.04,589547.514,0.3426,1.43,16.1534,15.2144,2.161,1.2638,1.1288,1.35,1.01,791614.2092,478640.9636,430505.0085,31458748.6736,19021191.8935
601318.SH,20121025,41.65,41.9,40.77,40.84,41.68,-0.8399999999999963,-2.0154,128433.6,529876.705,0.2983,1.14,16.6005,15.6355,2.2208,1.2988,1.16,1.31,0.98,791614.2092,478640.9636,430505.0085,32329524.3037,19547696.9534
601318.SH,20121024,41.64,42.02,41.48,41.68,41.76,-0.0799999999999983,-0.1916,89125.7,372150.236,0.207,0.74,16.942,15.9571,2.2665,1.3255,1.1839,1.29,0.96,791614.2092,478640.9636,430505.0085,32994480.2395,19949755.3628
601318.SH,20121023,42.37,42.48,41.61,41.76,42.22,-0.46000000000000085,-1.0895,98355.2,412484.95,0.2285,0.82,16.9745,15.9877,2.2709,1.3281,1.1862,1.28,0.96,791614.2092,478640.9636,430505.0085,33057809.3762,19988046.6399
601318.SH,20121022,41.8,42.27,41.73,42.22,42.0,0.21999999999999886,0.5238,109040.98,459292.82,0.2533,0.97,17.1615,16.1638,2.2959,1.3427,1.1992,1.27,0.95,791614.2092,478640.9636,430505.0085,33421951.9124,20208221.4832
601318.SH,20121019,41.65,42.0,41.65,42.0,41.79,0.21000000000000085,0.5025,91612.06,383862.918,0.2128,0.78,17.072,16.0796,2.2839,1.3357,1.193,1.28,0.95,791614.2092,478640.9636,430505.0085,33247796.7864,20102920.4712
601318.SH,20121018,41.5,41.97,41.01,41.79,41.54,0.25,0.6018,175185.35,725676.93,0.4069,1.72,16.9867,15.9992,2.2725,1.329,1.187,1.28,0.96,791614.2092,478640.9636,430505.0085,33081557.8025,20002405.8688
601318.SH,20121017,42.0,42.0,41.0,41.54,41.76,-0.21999999999999886,-0.5268,130765.3,542950.865,0.3037,1.41,16.8851,15.9035,2.2589,1.3211,1.1799,1.29,0.96,791614.2092,478640.9636,430505.0085,32883654.2502,19882745.6279
601318.SH,20121016,41.72,42.24,41.54,41.76,41.72,0.03999999999999915,0.0959,93644.0,392888.934,0.2175,0.86,16.9745,15.9877,2.2709,1.3281,1.1862,1.28,0.96,791614.2092,478640.9636,430505.0085,33057809.3762,19988046.6399
601318.SH,20121015,41.79,42.3,41.46,41.72,41.51,0.21000000000000085,0.5059,73058.98,305704.465,0.1697,0.62,16.9582,15.9724,2.2687,1.3268,1.185,1.29,0.96,791614.2092,478640.9636,430505.0085,33026144.8078,19968901.0014
601318.SH,20121012,41.98,42.49,41.37,41.51,41.64,-0.13000000000000256,-0.3122,116238.2,485963.066,0.27,0.83,16.8729,15.892,2.2573,1.3201,1.1791,1.29,0.96,791614.2092,478640.9636,430505.0085,32859905.8239,19868386.399
601318.SH,20121011,42.0,42.0,41.44,41.64,42.2,-0.5600000000000023,-1.327,95081.78,396414.529,0.2209,0.55,16.9257,15.9418,2.2643,1.3243,1.1827,1.29,0.96,791614.2092,478640.9636,430505.0085,32962815.6711,19930609.7243
601318.SH,20121010,42.2,42.4,42.0,42.2,42.35,-0.14999999999999858,-0.3542,84831.87,358373.315,0.1971,0.48,17.1533,16.1562,2.2948,1.3421,1.1987,1.27,0.95,791614.2092,478640.9636,430505.0085,33406119.6282,20198648.6639
601318.SH,20121009,41.7,42.65,41.7,42.35,41.45,0.8999999999999986,2.1713,175674.86,744670.982,0.4081,1.05,17.2143,16.2136,2.3029,1.3468,1.2029,1.27,0.94,791614.2092,478640.9636,430505.0085,33524861.7596,20270444.8085
601318.SH,20121008,42.06,42.77,41.35,41.45,41.94,-0.4899999999999949,-1.1683,120276.29,504857.105,0.2794,0.73,16.8485,15.869,2.254,1.3182,1.1774,1.29,0.97,791614.2092,478640.9636,430505.0085,32812408.9713,19839667.9412
601318.SH,20120928,41.25,42.06,41.1,41.94,41.64,0.29999999999999716,0.7205,225460.49,943154.563,0.5237,1.6,17.0477,16.0566,2.2806,1.3338,1.1913,1.28,0.95,791614.2092,478640.9636,430505.0085,33200299.9338,20074202.0134
601318.SH,20120927,40.48,42.23,40.48,41.64,40.35,1.2899999999999991,3.197,254070.16,1052444.793,0.5902,1.99,16.9257,15.9418,2.2643,1.3243,1.1827,1.29,0.96,791614.2092,478640.9636,430505.0085,32962815.6711,19930609.7243
601318.SH,20120926,40.35,40.79,40.23,40.35,40.48,-0.12999999999999545,-0.3211,102482.66,414546.093,0.2381,0.8,16.4014,15.4479,2.1942,1.2832,1.1461,1.33,0.99,791614.2092,478640.9636,430505.0085,31941633.3412,19313162.8813
601318.SH,20120925,40.0477,41.0639,40.0477,40.4761,40.1075,0.3686000000000007,0.919,138251.32,563952.723,0.3211,1.12,16.5152,15.5551,2.1915,1.2921,1.1541,1.32,0.62,791614.2092,478640.9636,430505.0085,32163285.3198,19447182.3511
601318.SH,20120924,39.1711,40.2569,38.8822,40.1075,39.4301,0.6773999999999987,1.718,104670.18,418219.576,0.2431,0.78,16.3648,15.4134,2.1716,1.2804,1.1435,1.33,0.62,791614.2092,478640.9636,430505.0085,31870388.0624,19270085.1945
601318.SH,20120921,39.5197,39.8684,39.1511,39.4301,39.6592,-0.22909999999999542,-0.5777,105097.83,416442.28,0.2441,0.69,16.0884,15.1531,2.1349,1.2587,1.1242,1.35,0.63,791614.2092,478640.9636,430505.0085,31332090.4001,18944609.3393
601318.SH,20120920,40.1972,40.1972,39.6194,39.6592,40.227,-0.5677999999999983,-1.4115,187217.84,748104.236,0.4349,1.31,16.1819,15.2412,2.1473,1.2661,1.1308,1.35,0.63,791614.2092,478640.9636,430505.0085,31514161.6683,19054696.7609
601318.SH,20120919,39.8584,40.3267,39.7489,40.227,39.8784,0.3485999999999976,0.8742,104929.91,421523.899,0.2437,0.71,16.4135,15.4594,2.178,1.2842,1.147,1.33,0.62,791614.2092,478640.9636,430505.0085,31965381.7675,19327522.1102
601318.SH,20120918,39.5994,40.2171,39.1611,39.8784,39.8784,0.0,0.0,113933.17,454682.163,0.2647,0.74,16.2713,15.3254,2.1592,1.2731,1.137,1.34,0.62,791614.2092,478640.9636,430505.0085,31688316.7943,19159997.7729
601318.SH,20120917,40.6455,41.1734,39.8485,39.8784,40.8746,-0.9962000000000018,-2.4372,158170.25,641410.224,0.3674,1.03,16.2713,15.3254,2.1592,1.2731,1.137,1.34,0.62,791614.2092,478640.9636,430505.0085,31688316.7943,19159997.7729
601318.SH,20120914,41.1734,41.7014,40.6455,40.8746,40.6753,0.19930000000000092,0.49,199839.68,826302.886,0.4642,1.03,16.6778,15.7082,2.2131,1.3049,1.1654,1.31,0.61,791614.2092,478640.9636,430505.0085,32479931.0035,19638638.7365
601318.SH,20120913,41.0639,41.1934,40.6455,40.6753,41.0639,-0.3885999999999967,-0.9463,135444.21,556022.063,0.3146,0.73,16.5965,15.6317,2.2023,1.2985,1.1597,1.31,0.61,791614.2092,478640.9636,430505.0085,32321608.1616,19542910.5438
601318.SH,20120912,41.542,41.9405,40.7949,41.0639,41.0639,0.0,0.0,133843.06,554101.29,0.3109,0.73,16.755,15.781,2.2234,1.3109,1.1708,1.3,0.61,791614.2092,478640.9636,430505.0085,32630337.7032,19729580.5196
601318.SH,20120911,41.6217,41.6217,40.775,41.0639,41.811,-0.7471000000000032,-1.7869,139953.33,577353.425,0.3251,0.79,16.755,15.781,2.2234,1.3109,1.1708,1.3,0.61,791614.2092,478640.9636,430505.0085,32630337.7032,19729580.5196
601318.SH,20120910,41.9405,42.1995,41.4424,41.811,41.8907,-0.07970000000000255,-0.1903,161953.15,680194.673,0.3762,0.89,17.0598,16.0681,2.2638,1.3348,1.1921,1.28,0.6,791614.2092,478640.9636,430505.0085,33224048.3601,20088561.2423
601318.SH,20120907,40.247,42.4187,40.247,41.8907,39.6692,2.221500000000006,5.6001,402051.15,1671411.842,0.9339,3.14,17.0924,16.0987,2.2681,1.3373,1.1944,1.28,0.59,791614.2092,478640.9636,430505.0085,33287377.4969,20126852.5194
601318.SH,20120906,39.3305,39.9481,39.2408,39.6692,39.1013,0.5678999999999945,1.4524,96156.74,381699.358,0.2234,0.63,16.1859,15.245,2.1478,1.2664,1.1311,1.35,0.63,791614.2092,478640.9636,430505.0085,31522077.8103,19059483.1706
601318.SH,20120905,39.181,39.7289,38.9818,39.1013,39.2806,-0.1792999999999978,-0.4565,121555.13,478991.34,0.2824,0.81,15.9542,15.0268,2.1171,1.2483,1.1149,1.37,0.64,791614.2092,478640.9636,430505.0085,31070857.7111,18786657.8213
601318.SH,20120904,39.8485,39.9282,39.1113,39.2806,39.6991,-0.41850000000000165,-1.0542,100364.69,398083.04,0.2331,0.64,16.0274,15.0957,2.1268,1.254,1.12,1.36,0.63,791614.2092,478640.9636,430505.0085,31213348.2688,18872813.1947
601318.SH,20120903,38.3841,39.988,38.3741,39.6991,38.7028,0.996299999999998,2.5742,191676.47,761965.764,0.4452,1.15,16.1981,15.2565,2.1495,1.2673,1.1319,1.35,0.63,791614.2092,478640.9636,430505.0085,31545826.2366,19073842.3995
601318.SH,20120831,38.8622,39.6492,38.6032,38.7028,38.9818,-0.27899999999999636,-0.7157,129956.61,509109.684,0.3019,0.79,15.7916,14.8736,2.0955,1.2355,1.1035,1.38,1.03,791614.2092,478640.9636,430505.0085,30754212.0274,18595201.4359
601318.SH,20120830,37.7564,39.4002,37.7564,38.9818,38.2844,0.6974000000000018,1.8216,225262.11,879957.044,0.5233,1.51,15.9055,14.9808,2.1106,1.2444,1.1115,1.37,1.02,791614.2092,478640.9636,430505.0085,30975864.006,18729220.9057
601318.SH,20120829,38.5534,38.673,38.125,38.2844,38.7327,-0.44830000000000325,-1.1574,107503.22,414494.394,0.2497,0.69,15.6209,14.7128,2.0729,1.2222,1.0916,1.4,1.04,791614.2092,478640.9636,430505.0085,30421734.0596,18394172.2311
601318.SH,20120828,38.7228,39.3404,38.5036,38.7327,38.7228,0.009900000000001796,0.0256,127798.13,498281.528,0.2969,0.8,15.8038,14.8851,2.0971,1.2365,1.1044,1.38,1.03,791614.2092,478640.9636,430505.0085,30777960.4537,18609560.6648
